"IOBS","WAVE","SC_NAME","Q2b_1","Q2b_2","Q2b_3","Q2c_1","Q2c_2","Q2c_3","Q2d_1","Q2d_2","Q2d_3","Q2d_4","Q2e_1","Q2e_2","Q2e_3","Q2e_4","Q2f_1","Q2f_2","Q2f_3","Q2g_1","Q2g_2","Q2h_1","Q2h_2","Q2h_3","Q2h_4","Q2h_5","Q2i_1_1","Q2i_1_2","Q2i_1_3","Q2i_1_4","Q2i_1_5","Q2i_1_6","Q2i_1_7","Q2i_1_8","Q2i_2_1","Q2i_2_2","Q2i_2_3","Q2k_1_1","Q2k_1_2","Q2l_1","Q2l_2","Q2m_1","Q2m_2","Q2m_3","Q2m_4","Q2m_5","Q3a_1","Q3a_2","Q3a_3","Q3b_1","Q3b_2","Q3b_3","Q3b_4","Q3b_5","Q3d_1","Q3d_2","Q3d_3","Q3d_4","Q3d_5","Q3e_1","Q3e_2","Q3e_3","Q3e_4","Q3f_1","Q3f_2","Q3f_3","Q3f_4","Q3g_1","Q3g_2","Q3g_3","Q3g_4","Q3h_1","Q3h_2","Q3h_3","Q3i_1","Q3i_2","Q5a_1","Q5a_2","Q5b_1","Q5b_2","Q5b_3","Q5e_1","Q5e_2","Q5e_3","Q5e_4","Q5e_5","iQ2b","iQ2c","iQ2d","iQ2e","iQ2f","iQ2g","iQ2h","iQ2i_1","iQ2i_2","iQ2k_1","iQ2l","iQ2m","iAGENTGREETING","wAGENTGREETING","iQ3a","iQ3b","iQ3d","iQ3e","iQ3f","iQ3g","iQ3h","iQ3i","iINTERACTION","wINTERACTION","iQ5a","iQ5b","iQ5e","iIMPRESSION","wIMPRESSION","iOverallScore","wOverallScore","BAN1_1","BAN1_2","BAN1_3","BAN1_4","BAN1_5","BAN1_6","BAN1_7","BAN1_8","BAN1_9","BAN1_10","BAN1_11","BAN1_12","BAN1_13","BAN1_14","BAN1_15","BAN1_16","BAN1_17","BAN1_18","BAN2_1","BAN2_2","BAN2_3"
217417177,1,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,0,0,50,1,50.0000,18,0.0000, , , , , , , , , , , , , , , , , , ,0,0,1,
217417656,1,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,100,0,0,0,25,0,0,0,8,15.6250,0,0,0,1,0.0000,18,6.9444, , , , , , , , , , , , , , , , , , ,0,0,1,
218324046,2,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,0,0,0,1,0.0000,18,0.0000, , , , , , , , , , , , , , , , , , ,0,0,1,
218376869,2,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,0,0,25,1,25.0000,18,0.0000, , , , , , , , , , , , , , , , , , ,0,0,1,
218377581,2,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,0,0,0,1,0.0000,18,0.0000, , , , , , , , , , , , , , , , , , ,0,0,1,
218388583,2,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,0,0,25,1,25.0000,18,0.0000, , , , , , , , , , , , , , , , , , ,0,0,1,
218403415,2,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,0,0,25,1,25.0000,18,0.0000, , , , , , , , , , , , , , , , , , ,0,0,1,
219728423,3,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,0,0,25,1,25.0000,18,0.0000, , , , , , , , , , , , , , , , , , ,0,0,1,
219728503,3,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,0,0,25,1,25.0000,18,0.0000, , , , , , , , , , , , , , , , , , ,0,0,1,
219728594,3,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,0,0,25,1,25.0000,18,0.0000, , , , , , , , , , , , , , , , , , ,0,0,1,
217173458,1,19,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0, , ,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,100,100,100,100,100,100,60,60,100,100, ,100,11,92.7273,100,100,50,100,75,100,100,100,8,90.6250,0,0,100,1,100.0000,19,91.8421, , , , , , , , , , , , , , , , , , ,0,1,0,
217393238,1,12,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,100,100,100,25,100,100,60,100,100,100, ,100,11,89.5455,100,100,50,100,0,25,50,100,8,65.6250,100,100,75,1,75.0000,19,79.4737, , , , , , , , , , , , , , , , , , ,0,1,0,
217442460,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0, , ,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,100,100,100,50,50,100,20,15,50, ,100,100,11,71.3636,100,100,50,100,25,50,50,100,8,71.8750,0,0,75,1,75.0000,19,71.5789, , , , , , , , , , , , , , , , , , ,0,1,0,
218319446,2,12,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0, , ,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,100,100,100,100,100,100,20,70,50, ,100,75,11,83.1818,100,100,100,100,75,100,100,100,8,96.8750,100,100,100,1,100.0000,19,88.9474, , , , , , , , , , , , , , , , , , ,0,1,0,
218362305,2,16,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1, , , , ,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,1,0,0,0,100,100,100,100,100,100,40,60,0,0,0,100,12,66.6667,0,0,0,0,0,0,0,0,8,0.0000,0,0,75,1,75.0000,20,40.0000, , , , , , , , , , , , , , , , , , ,0,1,0,
218401549,2,6,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1, , , , ,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,100,100,100,25,100,100,40,100,0,0,0,100,12,63.7500,100,100,100,100,50,25,100,100,8,84.3750,100,50,75,1,75.0000,20,72.0000, , , , , , , , , , , , , , , , , , ,0,1,0,
218408328,2,13,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0, , ,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,100,100,100,25,100,100,40,100,100,100, ,50,11,83.1818,100,100,50,100,75,25,100,100,8,81.2500,0,0,75,1,75.0000,19,82.3684, , , , , , , , , , , , , , , , , , ,0,1,0,
219061507,3,16,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0, , ,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,100,100,100,100,100,100,20,15,100,100, ,50,11,80.4545,100,100,100,100,75,100,100,100,8,96.8750,100,50,100,1,100.0000,19,87.3684, , , , , , , , , , , , , , , , , , ,0,1,0,
219113806,3,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, , ,0,10,0.0000,0,0,0,0,0,0,0,0,8,0.0000,100,50,25,1,25.0000,18,0.0000, , , , , , , , , , , , , , , , , , ,0,1,0,
219116358,3,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0, , ,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,100,100,100,50,50,100,60,75,50, ,100,100,11,80.4545,100,100,100,100,100,100,100,100,8,100.0000,100,50,25,1,25.0000,19,88.6842, , , , , , , , , , , , , , , , , , ,0,1,0,
